fg_pct_home,fg3_pct_home,ft_pct_home,oreb_home,dreb_home,ast_home,stl_home,blk_home,tov_home,pf_home
0.402,0.372,0.762,7.0,30.0,19.0,5.0,5.0,15.0,20.0
0.49,0.467,0.75,15.0,28.0,27.0,7.0,5.0,9.0,12.0
0.479,0.3,0.676,11.0,34.0,17.0,8.0,3.0,13.0,18.0
0.494,0.444,0.833,10.0,34.0,33.0,7.0,3.0,18.0,21.0
0.429,0.267,0.529,10.0,28.0,20.0,7.0,7.0,14.0,22.0
0.526,0.625,0.737,9.0,27.0,30.0,10.0,5.0,13.0,20.0
0.385,0.182,0.613,22.0,32.0,18.0,11.0,6.0,18.0,21.0
0.556,0.435,0.87,9.0,31.0,28.0,8.0,9.0,13.0,18.0
0.516,0.595,0.727,9.0,32.0,28.0,10.0,6.0,13.0,30.0
0.494,0.524,0.667,7.0,38.0,28.0,4.0,3.0,12.0,21.0
0.389,0.286,0.905,12.0,34.0,25.0,4.0,2.0,17.0,17.0
0.377,0.478,0.794,11.0,36.0,19.0,2.0,12.0,21.0,25.0
0.349,0.269,0.739,15.0,39.0,16.0,10.0,4.0,20.0,14.0
0.423,0.333,0.84,13.0,35.0,21.0,9.0,3.0,17.0,14.0
0.382,0.133,0.8,21.0,39.0,19.0,12.0,8.0,6.0,13.0
0.461,0.333,0.867,16.0,36.0,20.0,5.0,6.0,12.0,26.0
0.45,0.318,0.767,13.0,32.0,23.0,10.0,5.0,13.0,21.0
0.519,0.32,0.733,10.0,32.0,22.0,9.0,2.0,16.0,27.0
0.421,0.316,0.8,5.0,30.0,21.0,4.0,3.0,14.0,25.0
0.526,0.6,0.862,10.0,33.0,21.0,7.0,5.0,13.0,18.0
0.378,0.25,0.85,12.0,28.0,20.0,10.0,4.0,12.0,16.0
0.437,0.25,0.88,12.0,32.0,32.0,8.0,6.0,11.0,20.0
0.588,0.487,0.8,5.0,30.0,29.0,9.0,1.0,12.0,18.0
0.512,0.4,0.774,8.0,41.0,32.0,5.0,11.0,15.0,18.0
0.446,0.471,0.711,11.0,42.0,28.0,8.0,5.0,14.0,19.0
0.406,0.235,0.484,26.0,36.0,20.0,10.0,17.0,9.0,17.0
0.405,0.0,0.714,7.0,24.0,13.0,8.0,4.0,10.0,17.0
0.565,0.537,0.778,7.0,40.0,39.0,6.0,7.0,15.0,17.0
0.494,0.529,0.789,12.0,23.0,25.0,9.0,1.0,12.0,21.0
0.469,0.467,0.8,14.0,30.0,28.0,9.0,6.0,17.0,13.0
0.46,0.414,0.647,11.0,26.0,28.0,2.0,7.0,12.0,24.0
0.571,0.476,0.75,10.0,38.0,23.0,11.0,6.0,17.0,26.0
0.479,0.5,0.875,9.0,30.0,23.0,5.0,6.0,16.0,15.0
0.41,0.421,0.85,10.0,30.0,19.0,6.0,7.0,10.0,16.0
0.398,0.25,0.842,13.0,36.0,19.0,5.0,4.0,18.0,17.0
0.464,0.407,0.805,11.0,34.0,29.0,5.0,1.0,11.0,26.0
0.458,0.258,0.6,9.0,29.0,24.0,9.0,8.0,6.0,18.0
0.467,0.4,0.857,8.0,24.0,18.0,8.0,7.0,14.0,24.0
0.468,0.357,0.735,12.0,32.0,21.0,8.0,5.0,12.0,20.0
0.473,0.314,0.931,7.0,34.0,19.0,8.0,6.0,10.0,16.0
0.45,0.429,0.773,14.0,41.0,24.0,6.0,3.0,13.0,20.0
0.494,0.45,0.75,7.0,35.0,28.0,5.0,8.0,16.0,20.0
0.5,0.5,0.722,8.0,35.0,21.0,9.0,4.0,10.0,19.0
0.356,0.292,0.789,14.0,29.0,15.0,5.0,10.0,11.0,16.0
0.453,0.387,0.5,13.0,29.0,23.0,9.0,7.0,11.0,20.0
0.54,0.643,0.842,7.0,32.0,28.0,8.0,2.0,8.0,27.0
0.547,0.5,0.771,9.0,35.0,23.0,9.0,5.0,16.0,24.0
0.466,0.333,0.632,15.0,34.0,19.0,4.0,4.0,26.0,32.0
0.541,0.563,0.636,10.0,27.0,23.0,6.0,4.0,16.0,24.0
0.597,0.824,0.692,8.0,32.0,34.0,9.0,8.0,21.0,18.0
0.506,0.583,0.882,4.0,34.0,31.0,9.0,5.0,11.0,19.0
0.427,0.091,0.808,11.0,42.0,17.0,5.0,8.0,16.0,19.0
0.459,0.296,0.783,10.0,40.0,21.0,8.0,9.0,19.0,21.0
0.432,0.583,0.808,10.0,34.0,18.0,5.0,2.0,14.0,22.0
0.494,0.478,0.75,7.0,27.0,23.0,7.0,7.0,13.0,25.0
0.354,0.0,0.63,13.0,29.0,19.0,3.0,3.0,14.0,20.0
0.419,0.242,0.714,12.0,31.0,20.0,5.0,10.0,9.0,28.0
0.538,0.353,0.75,9.0,35.0,26.0,10.0,2.0,15.0,15.0
0.529,0.464,0.852,11.0,33.0,30.0,6.0,4.0,11.0,17.0
0.434,0.333,0.72,12.0,28.0,21.0,7.0,2.0,19.0,19.0
0.493,0.233,0.684,8.0,31.0,19.0,11.0,3.0,16.0,19.0
0.563,0.214,0.761,7.0,34.0,28.0,12.0,6.0,17.0,17.0
0.507,0.304,0.735,13.0,21.0,17.0,11.0,10.0,15.0,27.0
0.314,0.136,0.68,12.0,25.0,11.0,3.0,4.0,8.0,24.0
0.436,0.4,0.586,14.0,32.0,13.0,5.0,6.0,11.0,22.0
0.569,0.364,0.778,8.0,33.0,18.0,4.0,3.0,16.0,23.0
0.43,0.267,0.64,10.0,22.0,21.0,13.0,6.0,7.0,24.0
