,NAME,TEAM,POS,AGE,GP,MPG,MP%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI,Year
97,Dario Saric,Phi,PF,22,81,26.3,54.8,24.6,0.152,220,0.782,586,0.469,341,0.311,0.508,12.8,6.3,13.3,2.2,14.3,0.7,0.37,8.5,2016
98,Darrell Arthur,Den,PF,28,41,15.6,32.4,17.4,0.138,22,0.864,98,0.429,117,0.453,0.583,6.4,2.7,9.7,1,9.3,0.46,0.51,6.6,2016
99,Darren Collison,Sac,PG,29,68,30.3,63.2,19.8,0.125,171,0.86,540,0.494,174,0.42,0.57,13.2,2.2,4.3,4.6,24.5,0.99,0.13,6.7,2016
100,Darrun Hilliard,Det,SG,23,39,9.8,20.4,19.3,0.168,28,0.75,80,0.438,46,0.261,0.459,3.3,0.8,4.7,0.8,12.3,0.28,0.05,5.2,2016
101,David Lee,San,PF,33,79,18.7,38.9,16.9,0.149,113,0.708,420,0.59,0,0,0.613,7.3,5.6,16.9,1.6,12.9,0.38,0.51,8.6,2016
102,David Nwaba,Lal,SG,24,20,19.9,41.4,11.7,0.101,39,0.641,76,0.605,5,0.2,0.611,6,3.2,8.7,0.7,5,0.6,0.35,4.8,2016
103,David West,Gol,PF,36,68,12.6,26.2,18,0.222,56,0.768,244,0.541,8,0.375,0.571,4.6,3,13,2.2,24.1,0.62,0.71,9.9,2016
104,Davis Bertans,San,PF,24,67,12.1,25.1,15.7,0.114,34,0.824,61,0.557,173,0.399,0.609,4.5,1.5,6.9,0.7,8.3,0.3,0.42,5.5,2016
105,DeAndre’ Bembry,Atl,SF,22,38,9.8,20.3,14.3,0.132,16,0.375,80,0.575,18,0.056,0.481,2.7,1.6,8.7,0.8,11.9,0.21,0.13,6.2,2016
106,DeAndre Jordan,Lac,C,28,81,31.7,66.1,15.3,0.132,425,0.482,575,0.717,2,0,0.673,12.7,13.8,24.3,1.2,5.7,0.62,1.65,7.5,2016
107,DeAndre Liggins,Cle,SG,28,61,12.3,25.7,11.5,0.216,37,0.622,91,0.385,45,0.378,0.473,2.4,1.7,7.4,0.9,9.5,0.74,0.23,5,2016
108,Dejounte Murray,San,PG,20,38,8.5,17.6,23.5,0.227,30,0.7,93,0.441,23,0.391,0.503,3.4,1.1,7.4,1.3,22.7,0.21,0.16,8,2016
109,Delon Wright,Tor,PG,24,27,16.5,34.5,16.4,0.152,55,0.764,85,0.459,30,0.333,0.539,5.6,1.7,6,2.1,18.2,1,0.41,6.6,2016
110,DeMar DeRozan,Tor,SG,27,74,35.4,73.8,34.3,0.09,647,0.842,1421,0.484,124,0.266,0.552,27.3,5.2,8.3,3.9,20.6,1.05,0.18,9.3,2016
111,DeMarcus Cousins,Sac,C,26,55,34.4,71.6,37.5,0.132,549,0.77,851,0.482,267,0.356,0.562,27.8,10.6,17.8,4.8,27.4,1.36,1.35,13.1,2016
112,DeMarcus Cousins,Nor,C,26,17,33.8,70.4,33.1,0.144,121,0.777,218,0.486,96,0.375,0.564,24.4,12.4,19.4,3.9,20.6,1.47,1.24,12.5,2016
113,DeMarre Carroll,Tor,SF,30,72,26.1,54.4,15.6,0.082,117,0.761,230,0.483,320,0.341,0.53,8.9,3.8,8.3,1,5.7,1.11,0.38,5,2016
114,Dennis Schroder,Atl,PG,23,79,31.5,65.5,27.8,0.163,255,0.855,920,0.487,294,0.34,0.533,17.9,3.1,5.5,6.3,35.6,0.95,0.22,8.9,2016
115,Denzel Valentine,Chi,SG,23,57,17.1,35.7,15.4,0.142,18,0.778,80,0.363,208,0.351,0.492,5.1,2.6,8.3,1.1,9.3,0.53,0.12,5.7,2016
116,Deron Williams,Dal,PG,32,40,29.3,61,23.7,0.167,84,0.821,272,0.485,181,0.348,0.533,13.1,2.6,5.1,6.9,40.1,0.63,0.05,8.4,2016
117,Deron Williams,Cle,PG,32,24,20.3,42.2,18.1,0.202,25,0.84,94,0.489,53,0.415,0.566,7.5,1.9,5.1,3.6,25.9,0.25,0.25,7.3,2016
118,Derrick Favors,Uta,PF,25,50,23.7,49.4,20.7,0.114,109,0.615,407,0.491,10,0.3,0.512,9.5,6.1,14.9,1.1,7.9,0.9,0.8,6.7,2016
119,"Derrick Jones, Jr.",Pho,SF,19,32,17,35.5,11.7,0.086,41,0.707,110,0.591,11,0.273,0.604,5.3,2.5,7.9,0.4,3.1,0.41,0.44,4.1,2016
